key,value,date
Other,2,1944
Other,0,1945
Other,0,1946
Other,2,1947
Other,0,1948
Other,0,1949
Other,1,1950
Other,0,1951
Other,0,1952
Other,2,1953
Other,0,1954
Other,2,1955
Other,1,1956
Other,2,1957
Other,1,1958
Other,1,1959
Other,2,1960
Other,1,1961
Other,1,1962
Other,1,1963
Other,0,1964
Other,1,1965
Other,3,1966
Other,1,1967
Other,0,1968
Other,0,1969
Other,4,1970
Other,3,1971
Other,2,1972
Other,1,1973
Other,3,1974
Other,1,1975
Other,0,1976
Other,0,1977
Other,0,1978
Other,0,1979
Other,0,1980
Other,0,1981
Other,0,1982
Other,0,1983
Other,0,1984
Other,0,1985
Other,0,1986
Other,1,1987
Other,0,1988
Other,0,1989
Other,0,1990
Other,0,1991
Other,0,1992
Other,0,1993
Other,0,1994
Other,0,1995
Other,0,1996
Other,0,1997
Other,1,1998
Other,0,1999
Other,0,2000
Other,0,2001
Other,0,2002
Other,0,2003
Other,0,2004
Other,0,2005
Other,0,2006
Other,0,2007
Other,0,2008
Other,0,2009
Other,0,2010
Other,0,2011
Other,0,2012
Other,0,2014
Other,0,2015
Other,0,2016
Other,0,2017
Italian,0,1730
Italian,0,1731
Italian,0,1746
Italian,0,1753
Italian,0,1765
Italian,0,1772
Italian,0,1782
Italian,0,1787
Italian,0,1788
Italian,0,1789
Italian,0,1791
Italian,0,1792
Italian,0,1793
Italian,0,1795
Italian,0,1796
Italian,0,1797
Italian,0,1798
Italian,0,1800
Italian,0,1801
Italian,1,1802
Italian,0,1803
Italian,0,1804
Italian,0,1806
Italian,0,1807
Italian,0,1808
Italian,0,1809
Italian,1,1810
Italian,0,1811
Italian,0,1812
Italian,0,1813
Italian,1,1814
Italian,0,1815
Italian,0,1816
Italian,0,1817
Italian,1,1818
Italian,0,1819
Italian,0,1820
Italian,0,1821
Italian,0,1822
Italian,0,1823
Italian,0,1824
Italian,1,1825
Italian,0,1826
Italian,2,1827
Italian,0,1828
Italian,0,1829
Italian,0,1830
Italian,0,1831
Italian,0,1832
Italian,0,1833
Italian,1,1834
Italian,0,1835
Italian,0,1836
Italian,0,1837
Italian,0,1838
Italian,0,1839
Italian,0,1840
Italian,0,1841
Italian,0,1842
Italian,0,1843
Italian,0,1844
Italian,0,1845
Italian,0,1846
Italian,0,1847
Italian,0,1848
Italian,0,1849
Italian,1,1850
Italian,1,1851
Italian,0,1852
Italian,0,1853
Italian,0,1854
Italian,0,1855
Italian,0,1856
Italian,0,1857
Italian,1,1858
Italian,0,1859
Italian,2,1860
Italian,0,1861
Italian,0,1862
Italian,0,1863
Italian,0,1864
Italian,0,1865
Italian,0,1866
Italian,0,1867
Italian,1,1868
Italian,0,1869
Italian,0,1870
Italian,3,1871
Italian,0,1872
Italian,0,1873
Italian,0,1874
Italian,0,1875
Italian,1,1876
Italian,0,1877
Italian,0,1878
Italian,1,1879
Italian,0,1880
Italian,3,1881
Italian,1,1882
Italian,2,1883
Italian,3,1884
Italian,2,1885
Italian,0,1886
Italian,2,1887
Italian,3,1888
Italian,2,1889
Italian,2,1890
Italian,2,1891
Italian,3,1892
Italian,2,1893
Italian,2,1894
Italian,4,1895
Italian,5,1896
Italian,1,1897
Italian,3,1898
Italian,5,1899
Italian,7,1900
Italian,5,1901
Italian,2,1902
Italian,3,1903
Italian,2,1904
Italian,5,1905
Italian,7,1906
Italian,3,1907
Italian,5,1908
Italian,3,1909
Italian,4,1910
Italian,4,1911
Italian,8,1912
Italian,10,1913
Italian,2,1914
Italian,5,1915
Italian,2,1916
Italian,2,1917
Italian,4,1918
Italian,3,1919
Italian,9,1920
Italian,8,1921
Italian,7,1922
Italian,8,1923
Italian,5,1924
Italian,10,1925
Italian,15,1926
Italian,8,1927
Italian,4,1928
Italian,8,1929
Italian,10,1930
Italian,12,1931
Italian,7,1932
Italian,11,1933
Italian,5,1934
Italian,14,1935
Italian,7,1936
Italian,12,1937
Italian,8,1938
Italian,14,1939
Italian,12,1940
Italian,9,1941
Italian,4,1942
Italian,5,1943
Italian,7,1944
Italian,8,1945
Italian,4,1946
Italian,5,1947
Italian,3,1948
Italian,4,1949
Italian,3,1950
Italian,4,1951
Italian,4,1952
Italian,2,1953
Italian,4,1954
Italian,6,1955
Italian,1,1956
Italian,3,1957
Italian,2,1958
Italian,0,1959
Italian,2,1960
Italian,4,1961
Italian,1,1962
Italian,5,1963
Italian,3,1964
Italian,4,1965
Italian,6,1966
Italian,1,1967
Italian,4,1968
Italian,3,1969
Italian,3,1970
Italian,2,1971
Italian,3,1972
Italian,2,1973
Italian,1,1974
Italian,1,1975
Italian,2,1976
Italian,0,1977
Italian,1,1978
Italian,1,1979
Italian,4,1980
Italian,1,1981
Italian,1,1982
Italian,2,1983
Italian,0,1984
Italian,1,1985
Italian,0,1986
Italian,1,1987
Italian,0,1988
Italian,0,1989
Italian,0,1990
Italian,0,1991
Italian,0,1992
Italian,0,1993
Italian,0,1994
Italian,0,1995
Italian,0,1996
Italian,0,1997
Italian,1,1998
Italian,0,1999
Italian,0,2000
Italian,0,2001
Italian,0,2002
Italian,0,2003
Italian,0,2004
Italian,0,2005
Italian,0,2006
Italian,0,2007
Italian,0,2008
Italian,0,2009
Italian,0,2010
Italian,0,2011
Italian,0,2012
Italian,0,2014
Italian,0,2015
Italian,0,2016
Italian,0,2017
French,0,1730
French,0,1731
French,0,1746
French,0,1753
French,1,1765
French,0,1772
French,0,1782
French,1,1787
French,0,1788
French,1,1789
French,0,1791
French,0,1792
French,0,1793
French,1,1795
French,1,1796
French,2,1797
French,1,1798
French,2,1800
French,2,1801
French,0,1802
French,0,1803
French,2,1804
French,1,1806
French,1,1807
French,2,1808
French,2,1809
French,1,1810
French,3,1811
French,2,1812
French,2,1813
French,2,1814
French,0,1815
French,2,1816
French,2,1817
French,3,1818
French,5,1819
French,4,1820
French,3,1821
French,3,1822
French,0,1823
French,4,1824
French,2,1825
French,1,1826
French,3,1827
French,1,1828
French,1,1829
French,2,1830
French,2,1831
French,3,1832
French,3,1833
French,1,1834
French,1,1835
French,3,1836
French,2,1837
French,0,1838
French,3,1839
French,4,1840
French,3,1841
French,2,1842
French,2,1843
French,2,1844
French,1,1845
French,3,1846
French,3,1847
French,2,1848
French,3,1849
French,2,1850
French,2,1851
French,1,1852
French,5,1853
French,3,1854
French,1,1855
French,6,1856
French,3,1857
French,5,1858
French,9,1859
French,8,1860
French,9,1861
French,6,1862
French,9,1863
French,7,1864
French,8,1865
French,3,1866
French,11,1867
French,6,1868
French,7,1869
French,4,1870
French,3,1871
French,8,1872
French,5,1873
French,5,1874
French,10,1875
French,7,1876
French,3,1877
French,3,1878
French,5,1879
French,5,1880
French,5,1881
French,7,1882
French,9,1883
French,7,1884
French,9,1885
French,11,1886
French,4,1887
French,4,1888
French,5,1889
French,6,1890
French,6,1891
French,10,1892
French,6,1893
French,10,1894
French,2,1895
French,10,1896
French,6,1897
French,6,1898
French,7,1899
French,12,1900
French,5,1901
French,5,1902
French,4,1903
French,12,1904
French,9,1905
French,5,1906
French,9,1907
French,6,1908
French,7,1909
French,3,1910
French,3,1911
French,2,1912
French,6,1913
French,1,1914
French,0,1915
French,2,1916
French,4,1917
French,2,1918
French,6,1919
French,9,1920
French,8,1921
French,8,1922
French,10,1923
French,5,1924
French,9,1925
French,9,1926
French,4,1927
French,11,1928
French,6,1929
French,12,1930
French,3,1931
French,6,1932
French,3,1933
French,6,1934
French,3,1935
French,5,1936
French,6,1937
French,7,1938
French,7,1939
French,2,1940
French,4,1941
French,6,1942
French,8,1943
French,7,1944
French,5,1945
French,6,1946
French,3,1947
French,6,1948
French,4,1949
French,1,1950
French,2,1951
French,1,1952
French,3,1953
French,5,1954
French,5,1955
French,3,1956
French,4,1957
French,4,1958
French,4,1959
French,4,1960
French,4,1961
French,5,1962
French,2,1963
French,5,1964
French,3,1965
French,2,1966
French,7,1967
French,6,1968
French,4,1969
French,3,1970
French,4,1971
French,2,1972
French,1,1973
French,2,1974
French,0,1975
French,2,1976
French,0,1977
French,0,1978
French,1,1979
French,3,1980
French,2,1981
French,2,1982
French,1,1983
French,0,1984
French,0,1985
French,1,1986
French,2,1987
French,2,1988
French,0,1989
French,0,1990
French,0,1991
French,0,1992
French,0,1993
French,0,1994
French,0,1995
French,0,1996
French,1,1997
French,0,1998
French,0,1999
French,2,2000
French,0,2001
French,0,2002
French,0,2003
French,0,2004
French,0,2005
French,0,2006
French,0,2007
French,0,2008
French,1,2009
French,0,2010
French,0,2011
French,0,2012
French,0,2014
French,0,2015
French,0,2016
French,0,2017
Other,0,1730
Other,0,1731
Other,0,1746
Other,0,1753
Other,0,1765
Other,0,1772
Other,0,1782
Other,0,1787
Other,0,1788
Other,0,1789
Other,0,1791
Other,0,1792
Other,0,1793
Other,0,1795
Other,0,1796
Other,0,1797
Other,0,1798
Other,0,1800
Other,0,1801
Other,0,1802
Other,0,1803
Other,0,1804
Other,0,1806
Other,0,1807
Other,0,1808
Other,0,1809
Other,0,1810
Other,0,1811
Other,0,1812
Other,0,1813
Other,0,1814
Other,0,1815
Other,0,1816
Other,0,1817
Other,0,1818
Other,0,1819
Other,0,1820
Other,0,1821
Other,0,1822
Other,0,1823
Other,0,1824
Other,0,1825
Other,0,1826
Other,0,1827
Other,0,1828
Other,0,1829
Other,0,1830
Other,0,1831
Other,0,1832
Other,0,1833
Other,0,1834
Other,0,1835
Other,0,1836
Other,0,1837
Other,0,1838
Other,0,1839
Other,0,1840
Other,0,1841
Other,0,1842
Other,0,1843
Other,0,1844
Other,0,1845
Other,0,1846
Other,0,1847
Other,0,1848
Other,0,1849
Other,0,1850
Other,0,1851
Other,0,1852
Other,0,1853
Other,0,1854
Other,0,1855
Other,0,1856
Other,0,1857
Other,0,1858
Other,0,1859
Other,0,1860
Other,0,1861
Other,0,1862
Other,0,1863
Other,0,1864
Other,0,1865
Other,0,1866
Other,0,1867
Other,0,1868
Other,0,1869
Other,0,1870
Other,0,1871
Other,0,1872
Other,0,1873
Other,0,1874
